Codice,Nome,Descrizione,Prezzo,Link Foto,Disponibilità
01-SSC-3596,SonicWall STANDARD Support for NSa 4650 - 2 Year - 01-SSC-3596,Telephone/Email/Web-based Support for 24x7 technical assistance | Software/Firmware Updates for all software and firmware updates and upgrades | Hardware Replacement Advance Exchange for replacement of defective hardware | Support Tools for access to SonicWall's electronic support tools | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-3596,"$2,379.68",https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Disponibilità non disponibile
02-SSC-9954,SonicWall Comprehensive Antispam Service for NSSP 10700 - 1 Year - 02-SSC-9954,Operates with any email server which accepts inbound SMTP messages | Advanced Reputation Management (ARM) | LDAP integration & Adversarial Bayesian filtering | Service Length: 1 Year License | Manufacturer Part #: 02-SSC-9954,"$7,038.00",https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Disponibilità non disponibile
01-SSC-2037,SonicWall Advanced Gateway Security Suite Bundle for NSa 9650 - 2 Year - 01-SSC-2037,Service Length: 2 Year License | Manufacturer Part #: 01-SSC-2037,"$59,732.87",https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Disponibilità non disponibile
01-SSC-2043,SonicWall Capture Advanced Threat Protection for NSa 9650 - 2 Year - 01-SSC-2043,Multi-engine advanced threat analysis | Real-Time Deep Memory Inspection (RTDMI) | Broad File Type Analysis | Block Until Verdict | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-2043,"$19,268.67",https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Disponibilità non disponibile
01-SSC-2137,SonicWall Content Filtering Service Premium Business Edition for NSa 9650 - 2 Year - 01-SSC-2137,Granular content filtering | Dynamically updated rating architecture | Regulatory reporting & compliance | Easy-to-use Web-based management | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-2137,"$23,122.40",https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Disponibilità non disponibile
01-SSC-2143,"SonicWall Gateway Anti-malware, Intrusion Prevention and Application Control for NSa 9650 - 2 Year - 01-SSC-2143",Application Intelligence & Control | Ultimate Scalability & Performance | Simplified Deployment & Management | Integrated Deep Packet Inspection Technology | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-2143,"$19,808.91",https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Disponibilità non disponibile
01-SSC-1991,SonicWall 24X7 Support for NSa 9650 - 2 Year - 01-SSC-1991,Telephone/Email/Web-based Support for 24x7 technical assistance | Software/Firmware Updates for all software and firmware updates and upgrades | Hardware Replacement Advance Exchange for replacement of defective hardware | Support Tools for access to SonicWall's electronic support tools | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-1991,"$22,158.96",https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Disponibilità non disponibile
01-SSC-0415,SonicWall Advanced Gateway Security Suite Bundle for NSa 9450 - 2 Year - 01-SSC-0415,Service Length: 2 Year License | Manufacturer Part #: 01-SSC-0415,"$45,614.19",https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Disponibilità non disponibile
01-SSC-0856,SonicWall Capture Advanced Threat Protection for NSa 9450 - 2 Year - 01-SSC-0856,Multi-engine advanced threat analysis | Real-Time Deep Memory Inspection (RTDMI) | Broad File Type Analysis | Block Until Verdict | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-0856,"$14,714.25",https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Disponibilità non disponibile
01-SSC-1159,SonicWall Content Filtering Service Premium Business Edition for NSa 9450 - 2 Year - 01-SSC-1159,Granular content filtering | Dynamically updated rating architecture | Regulatory reporting & compliance | Easy-to-use Web-based management | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-1159,"$17,657.11",https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Disponibilità non disponibile
01-SSC-1221,"SonicWall Gateway Anti-malware, Intrusion Prevention and Application Control for NSa 9450 - 2 Year - 01-SSC-1221",Application Intelligence & Control | Ultimate Scalability & Performance | Simplified Deployment & Management | Integrated Deep Packet Inspection Technology | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-1221,"$15,128.73",https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Disponibilità non disponibile
01-SSC-0408,SonicWall 24X7 Support for NSa 9450 - 2 Year - 01-SSC-0408,Telephone/Email/Web-based Support for 24x7 technical assistance | Software/Firmware Updates for all software and firmware updates and upgrades | Hardware Replacement Advance Exchange for replacement of defective hardware | Support Tools for access to SonicWall's electronic support tools | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-0408,"$16,921.40",https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Disponibilità non disponibile
01-SSC-0039,SonicWall Advanced Gateway Security Suite Bundle for NSa 9250 - 2 Year - 01-SSC-0039,Service Length: 2 Year License | Manufacturer Part #: 01-SSC-0039,"$35,033.94",https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Disponibilità non disponibile
01-SSC-0141,SonicWall Capture Advanced Threat Protection for NSa 9250 - 2 Year - 01-SSC-0141,Multi-engine advanced threat analysis | Real-Time Deep Memory Inspection (RTDMI) | Broad File Type Analysis | Block Until Verdict | Service Length: 2 Year License | Manufacturer Part #: 01-SSC-0141,"$11,298.45",https://www.firewalls.com/media/catalog/product/cache/1c27e2e8ad47e48ad96258356e225522/s/o/sonicwall-digital-product.jpg,Disponibilità non disponibile
